Animation -> 13,Thriller -> 5,War -> 0,Horror -> 24,Documentary -> 16,Biography -> 3,Comedy -> 19,Western -> 2,Fantasy -> 21,Romance -> 25,Family -> 1,Drama -> 20,Short -> 15,Sport -> 14,History -> 22,Film-Noir -> 7,Reality-TV -> 4,Music -> 8,Mystery -> 9,Musical -> 23,Sci-Fi -> 11,Game-Show -> 18,Adventure -> 10,Crime -> 17,Action -> 12,News -> 6
aaron hill,9,5,20
chris evans,12,9,1,19,13,5,20,17,3,21,10,25,11
tim pigott-smith,0,20,22
donald rumsfeld,0,16
alessandro preziosi,19,20,25
takeshi kaneshiro,0,12,20,10,25,22
barack obama,16
matt bennett,19
alicja bachleda,9,19,5,20,17,25,14
omar epps,9,19,5,20,17,24,3,25,14
amy poehler,12,1,19,13,5,20,21,10,25,14,11,8
francesc pagès,24
david thornton,19,25
aden young,12,1,19,20,3,10,25,8
rodger bumpass,1,19,13,21,10
maribel verdú,0,19,20,21,10,25
veronika vernadskaya,12,5,24,10,11
quynn ton,5
ben vereen,19,20,25,8,23
bojana novakovic,9,5,20,17,24
john bailey,19,24,10
brían f. o'byrne,12,9,19,5,20,17,25
collette wolfe,19,20,17,11
john astin,19,21
roddy mcdowall,12,1,5,20,17,3,25,22,11
reda kateb,0,2,20
reece thompson,5,20,24,11
steve oedekerk,12,19
zane holtz,9,1,19,20,10
john d'leo,20,14
jesse l. martin,19,20,25,8,23
aditya roy kapoor,19,20,25,23
amy badberg,16
keenan tracey,12,11
vera miles,9,5,2,20,24
shabana azmi,19,20,24,25
lynn cohen,9,19,5,20,17,25
rami malek,12,1,19,5,20,17,21,10,25
candace kroslak,9,5,20,24
marco st. john,12,9,19,5,20,17,24,21,11
vivian lamolli,5,2,20,21,10
olivia munn,12,9,19,5,24,25
phil davis,19,5,20,17,25
charlyne yi,19,25
bryan callen,12,19,17,25
ella joyce,9,19,21
james gammon,19,5,2,17,20,24,25,11
bill murray,0,9,1,16,17,24,3,10,25,11,12,19,13,5,20,21,14,23
bruce newbold,10
armin rohde,20,17
harrison ford,0,9,17,24,3,10,25,11,12,19,5,20,21,14,8
melvil poupaud,20,25
tom waits,20,17
rolando molina,19,20,25
shengyi huang,12,19,17,21
lara jean chorostecki,12,1,20,17,3,21
fritz kortner,20,17,25
william katt,20,25,11
nichelle nichols,12,9,1,19,5,10,14,11
kathryn joosten,1,19,21,25
john cassavetes,5,20,17,24
alex karpovsky,19,20,8
judith barsi,1,13,5,24,10
roy billing,20,3,10,22
brendan sexton iii,9,20,17,24,3,10,25
john ireland,0,12,20,17,10,22
john neville,9,5,20
donald sumpter,12,9,13,5,20,24,21,25,11
patrick troughton,9,24,21
john amplas,24
jeremy northam,12,9,19,5,20,17,3,25,14,11
jaime king,0,12,19,5,20,17,24,21,25,22
john randolph,12,11
matt keeslar,20
misha gabriel hamilton,16,20,25,8
tovah feldshuh,20
lusia strus,9,5,24
zoë kravitz,12,9,19,5,20,10,25,11
bonnie henna,20,3,22
cindy robinson,12,1,19,13,5,20,21,10
earl cameron,12,5,10
teddy doloir,20
matt bushell,19,20,25,14
jake short,1,19,21
joe cole,9,5,20,17,24,8
diane sorrentino,25
allison miller,9,24
dennis l.a. white,12
bill cobbs,9,1,17,24,10,25,12,19,5,20,21,14,8,23
rae dawn chong,12,19,5,20,10,22
tony doupe,19,24,21,23
costas mandylor,12,9,19,5,20,17,24,22,14,11
garrett m. brown,19,25
chester,19
jimmy jean-louis,19,20,22,14
laura breckenridge,20,25
mustafa haidari,20
mel rodriguez,5,20,17
kenny baker,12,19,21,10,11
lincoln hoppe,19,20,25
jeffrey garcia,1,19,13,10,23
ulrich mühe,0,5,20,17,3
michael cerveris,20,24,11
eric stonestreet,1,19,13,17
sarah douglas,24,25,11
sarah silverman,1,16,13,19,17,10,25,11,8
melina kanakaredes,12,9,5,20,17
aaron kwok,12,21,10
t.v. carpio,20,21,25,23
bradley whitford,9,19,5,20,17,24,21,10,25
yenny paola vega,20,17
carmen electra,1,19,17,21,10,25
nicholas aaron,16,20,10,14
jeff conaway,19,5,17
cat ly,20
sydelle noel,5,20,17
peter mcquinn,19,24
dendrie taylor,5,20,17
india de beaufort,19,25,14
mo gallini,12,5,17
zak orth,19,25
noémie lenoir,12,19,5,17
r. marcos taylor,20,17,3,22,8
yaakov peri,0,16
angelo anthony pizza,5,20,17
sam trammell,12,5,20,17,24,25,11
siu-wong fan,12,20
alicia keys,20
macaulay culkin,1,19,5,20,17,3,10,25
david murray,5,20,17,3
mae west,19,20,25,22,23
chloe bridges,5,24,25
charlize theron,9,1,2,17,3,10,25,11,12,19,13,5,20,21,14,8
rhea perlman,19,20,3,25
christopher guest,0,19,20,11,8
nonso anozie,0,12,1,5,20,21,10
t.i.,12,19,20,17,10,25,11,8
griffin kane,5,20
alice englert,12,10,25,11
togo igawa,12,19,17,10
padraic delaney,0,20
kay panabaker,9,1,19,5,20,17,25,23
oliver platt,9,1,17,24,3,10,25,11,12,19,13,5,20,21,14,23
phyllis diller,16
miranda cosgrove,1,19,13,11,8
odessa rae,5,20,17
eddie baroo,0,20,10,25
rie miyazawa,16,20
chris brown,19,20,25,8
jacques brel,16,3,8
ari gold,20,8
terence hill,0,20,10,25
stefania sandrelli,20
hannah murray,20,25,11
karen mok,12,19,14
li gong,12,5,20,17,21,10,25,11
romola garai,12,19,13,5,20,24,25,11
steven anthony lawrence,1,19,11
tony danza,19,20,25
todd louiso,19,20
jean pierre bergeron,12,5,20,24
g.j. echternkamp,5,20,17
kate luyben,12,19,2,10
hugh o'brian,19,17
wendee lee,1,13,10
lisa pelikan,20,10,25
collin kahey,20,17,25
liam neeson,0,9,1,2,17,24,3,10,25,11,12,19,13,5,20,21,22
chelse swain,19,20
cheryl hines,1,19,13,20,21,10,25,14,11
richard cetrone,12,9,5
bolaji badejo,24,11
jane goodall,16
chris weitz,19,20
ricky martin,0,16,20
susan chambers,9,19,5,24
clarke peters,19,20,25
david kelly,12,1,19,21,10,25,11
anthony 'citric' campos,19,10,11
julia garner,9,5,20
jay leno,12,1,19,13,21,10
katharina schüttler,5,20,17,3
nelson ascencio,19,10,11
béatrice bonifassi,19,13,20
rüdiger vogler,5,24
rob paulsen,12,1,19,13,21,10,11
teri garr,9,1,19,5,20,10,25,14,11
jack o'halloran,0,20,10,25
emma eliza regan,24
misty upham,20,17
yasmine al massri,19,20,25
chris andrew ciulla,9,19,5,11
adam rifkin,19,20
eliza coupe,19,20,25
dylan baker,9,19,5,20,17,24,3,21,25,22,11
brent sexton,9,20,17
serena scott thomas,9,19,20,17,25
gloria stuart,20,25
anthony powell,16,20,3,10
dougray scott,0,12,9,19,5,20,17,24,3,10,25
vera ngassa,16
robert baker,19,20,25,14
elliott gould,12,19,5,17
kalim chandler,5,20,11
stephanie vogt,9,5,24
william bassett,12,1,20,24,14,11
adam trese,9,5,20,24
jin akanishi,12,20,21,10
michael nyqvist,0,12,9,19,5,20,17,10,25,8
cariba heine,12,24,11
ben miller,12,19,10
catherine lough haggquist,24,11
al cliver,24
jean arthur,19,20,25
rhys wakefield,5,20,24,10,25,11
radha mitchell,0,12,9,19,5,20,17,24,10,25,11
justin kirk,19,20,24,25
mick lally,1,13,21,10
bob gunton,12,9,19,5,20,17,24,10,14,11
ryan bollman,12,20
richard curtis,16
mark rolston,20,17
ellie kendrick,20
judy davis,12,1,19,5,20,17,10,25,22
paul barber,12,19,5,17
kent mccord,24,25,11
michelle simone miller,12,5,11
sarah steele,19,20,25
simon rhee,12,19
pamela reed,12,5,20,21,10
todd bridges,16,3,8
jordan scovel,20
lori singer,12,5,20,24,21,25,8
firass dirani,12,5,20
jesse mccartney,9,1,19,13,5,24,21,10,11,8
beverly d'angelo,19,5,20,17,3,10,25,8,23
dallas roberts,9,19,20,3,25,8
dwayne johnson,12,1,19,13,5,20,17,24,21,10,14,11,8
nia vardalos,1,19,17,25,8
michele morrow,24
paul mcgillion,12,19,5
margaret hamilton,1,21,10,23
yves jacques,20,25
samantha futerman,19,20
sina amedson,20
abraham benrubi,12,1,19,13,5,20,10,25,22,11
frances fisher,12,19,5,2,17,20,24,3,25,22
lily rabe,19,20,24,25
shiree nelson,5,20,11
dwight yoakam,12,9,19,5,2,17,20,10,22
harris yulin,12,19,5,2,17
maggie wheeler,13
alejandro furth,5,24
sunny mabrey,12,5,17,10
nicole smolen,5,20
kelly paterniti,19,20,25,11
marian marsh,0,20
june diane raphael,19
piero maggiò,24
benedict wong,9,5,20,17,10,11
philip seymour hoffman,0,9,17,3,10,25,11,12,19,5,20,22,14,8
khaira arby,16
ann-margret,1,19,20,25
christopher shea,1,19,13
paulina gerzon,19,20,25
cyndi lauper,1,13
kenneth mitchell,20,3,22,14
kenny johnston,20,17,25
shirley knight,19,20,25
eduard fernández,20
abbie cornish,0,1,17,3,10,25,11,12,19,13,5,20,21,22
kristoffer polaha,9,20,11
lia tucker,12,20,14
andre braugher,12,9,5,20,17,21,10,25,22,11
johnathan hurley,12,5,20,11
kurtwood smith,0,12,19,5,20,17,3,10,25,14,11
austin lyon,20,25
aleksa palladino,19,20
nora von waldstätten,5,20,17,3
sandra vergara,19,24
hattie mcdaniel,0,20,25,22
jiao xu,1,19,13,21,10,11
olivia colman,20,3,22
emily rios,20
david lewis,12,5
isaac hayes,20,17,8
olivier rabourdin,20
jennifer saunders,1,19,13,21,10,25
kelly rutherford,9,24
jessica wesson,1,10
albert brooks,0,1,17,24,3,10,25,11,12,19,13,5,20,21,14
david walton,19,20,25,8,23
david paymer,12,1,19,5,20,21,10,25
ellen burstyn,5,20,17,24,21,25,14,11
carrie henn,12,10,11
greg speirs,16,14
flea,1,19,13,20,21,10
clemens schick,0,20,22
reggie lee,12,19,5,17,24,14
shenae grimes-beech,9,19,20,24,21
karl collins,19,20,25,14
patrick gallagher,19,20,10,25
marc john jefferies,9,1,19,5,20,17,24,3,21,10,11,8
jeffrey dover,0,2,20,25
gary weeks,5,11
jamison stalsworth,1
m.c. gainey,12,9,1,19,13,5,20,17,21,10,25,11,23
facundo lombard,20,25,8
max casella,19,20,8
natalie imbruglia,12,19,10
gano grills,12,5,20,17
colm feore,9,1,17,24,10,25,11,12,19,5,20,21,8,23
loanne bishop,20
joanna lumley,1,19,13,20,21,25,23
james debello,19
xander berkeley,12,19,5,2,17,20,3,10,11
tim abell,12,9,5,24
snoop dogg,1,19,13,5,20,17,10,25,14
ronnie gene blevins,20
larry mullen jr.,16,8
joseph gordon-levitt,0,12,1,19,13,5,20,17,3,10,25,22,11
angelica lee,12
danny rhodes,19,20,21,25
frank dillane,12,5,20,3,10,22
jacob vargas,12,19,5,20,17,24,3,10,25,22,14,11,8
jed brophy,12,5,2,17,20,3,21,10,25,11
david clennon,9,20,17,24,11
collin alfredo st. dic,16,8
oliver hudson,19,24,25
mélissa désormeaux-poulin,0,9,20
cassandra peterson,19,11,8
bianca brigitte vandamme,19,11
peter finch,20
julian fellowes,20,3,25
eve,12,5,10
othon bastos,20
martin semmelrogge,0,5,20,10
ashley gerasimovich,5,20
nancy allen,9,5,25
kevin dunn,12,5,20,17,10,25,14,11
kathryn morris,5,20,14
don gordon,20
bobby batson,20
yangzom brauen,9,5,11
yassine azzouz,20
joey lawrence,9,5,24
angie dickinson,9,5,20,17,25
lola dueñas,9,19,20,17,3,25
russi taylor,1,13,21,8
michael j. morris,12,10
matt long,12,19,5,21,25
june carter cash,20
robin bartlett,5,20,11
tim heidecker,12,10,11
michael parle,24
lea thompson,0,12,9,19,5,2,20,21,10,25,11
shane rangi,1,21,10
taylor pigeon,15,5,24,11
al gore,16
amy locane,20,3,25,14
zero mostel,19,23
trevor howard,5,17,24
yuriy tsurilo,20,11
eugenio derbez,19,20,10
kieu chinh,20
geoff stults,12,19,25
isild le besco,20
eric stoltz,0,12,1,19,5,20,17,24,3,10,25,22,11
jon gries,12,19,5,2,17,20,24,21,25,22
peter sallis,9,1,19,13,11
robert picardo,12,9,1,19,20,24,21,10,11
dominick brascia,9,5,24
lionel barrymore,1,19,20,21,25
ellen sandweiss,24,21
elsa lanchester,1,19,21,23
daniel rindress-kay,19,24,25
john vernon,13,5,20,24,21,10,11
elodie yung,12,5,21,10,11
sean connery,20,10,25
mika boorem,12,9,1,5,20,21,10,25,14
rodney eastman,5,24,21
james morrison,0,12,20,11
j.t. walsh,0,12,9,19,5,20,17,3,10
parminder nagra,19,20,25,14
victor rivers,20,25
victoria learn,20,3
stefan kapicic,12,19,10,25,11
sam adams,16
jan decleir,9,20,17
damien garvey,12,19,5,17,24,11
betsy russell,9,5,24
lisagay hamilton,19,20,8
qiu yuen,12,19,17,21
roger allam,0,5,20,24,3,21
juan carlos montoya,19,20
bernard hill,12,9,5,20,17,24,21,10
keanu reeves,9,17,24,3,10,25,11,12,19,13,5,20,21,14,8
gerald mcraney,1,19,20,17,21,10,25
melvyn douglas,20
david bianchi,5
shaun toub,1,20,21
pierre prieur,20,25,23
arjun rampal,19
tom ardavany,19,3,25
julie-marie parmentier,9,20,24,11
zak penn,19,24,10
reginald ballard,19,17
hardy krüger,0,20,10,22
deborah twiss,12,19
topher grace,12,19,5,20,10,25,11
antonio sabato jr.,12,19,5,17
ellia thompson,19,20,25
russ tamblyn,20,17
troy evans,1,13,5,24,21,10,11
chris new,20,25
harland williams,19,17,25
david kennedy,20,3,8
meghan heffern,9,5,20,25
zack pearlman,19
sue corcoran,19,24,21,23
persis khambatta,12,5,17
harvey weinstein,19,16
melissa bardin galsky,19,13,20
isabella rossellini,19,13,2,17,20,24,3,21,10,25
shane hartline,19,20,25,23
shannon tweed,19,8
finn wittrock,0,20,3,14
luke bracey,12,1,19,5,20,17,10,25
frederic forrest,20,25,8
david zucker,19
kamel krifa,12,17
charlie hunnam,0,12,9,5,20,17,10,25,22,11,8
tony nappo,12,9,19,5,20,17,24
rita hayworth,9,5,20,17,7
tony bonner,1,2,20,10,25
chris eigeman,19,20,25
julian richings,12,9,1,5,2,17,20,24,10,25,11
melanie griffith,12,9,1,19,13,5,20,17,24,21,10,11
kimberly williams-paisley,20,14
jacob tremblay,1,19,13,20,21,10
sarah kazemy,20
betsy baker,24,21
zena grey,9,5,24
kara hayward,9,5,20
sean michael afable,20
ana maria guran,20
peter greene,12,19,5,20,17,21,25
margaret tracey,1,21,8
milos forman,19,20,25
blythe auffarth,1,13,21,10
yuval diskin,0,16
matt craven,12,9,5,20,17,21,25
james le gros,12,5,24,21,11
harry styles,16,8
lance gross,19,25
don brooks,20,21
zhonghua chen,19,17
woody allen,9,1,19,13,20,17,10,25,11
tom noonan,12,9,19,13,5,20,17,21,10,25,11
phaldut sharma,5,20,10,11
clayton rohner,9,24
birgitte hjort sørensen,12,19,5,11,8
michel côté,12,5,20,24
chi chung lam,1,19,11
steve carell,12,1,19,13,5,20,17,3,21,10,25,11
michael kelly,9,19,5,20,17,3,10,25,22,14,11
faizon love,12,19,5,20,17,21,25,14,23
garrick hagon,12,19,5,17
chin-chien chang,5
edwin neal,5,24
paul winfield,12,11
ryan kruger,12,5,11
louise fletcher,20,24,11
louis jourdan,12,5,10
gia mantegna,20
irene dunne,0,20,21,25
matt day,19,25
cara seymour,20,25,11
tom guiry,9,5,20,17,25
john doe,9,19,5,20,8
byron mann,12,9,5,20,17
michael aaron milligan,5
denis o'hare,9,19,5,20,17,3,25,22
karen young,20,25
darryl stephens,20,8
big budah,1,19,17
ángela molina,0,2,20
tommy the clown,16,8
treat williams,0,12,19,5,20,17,3,21,10,25
amy bruni,16
tichina arnold,12,19,17,10
ted cassidy,2,17,20,3
armando riesco,12,9,1,19,5,20,17,10,25,22
sean huze,0,12,5,20
riley smith,12,9,1,19,5,20,17,24,3,21,25,14
anthony hopkins,0,9,2,17,24,3,10,25,12,19,13,5,20,21,22,14
carl gilliard,9,5
dylan kussman,12,5,20,17
ken sansom,1,19,13,20,23
matt smith,12,20,24,10,25,11
alexander skarsgård,12,19,5,20,10,25,11
edgar tancangco,5
john reeves,16,17
maïwenn,20,17,24
bertrand cantat,16
ryan carnes,19,20,25
patricia neal,1,20,8
amber marie bollinger,5,20,11
riley thomas stewart,20,25
tom burlinson,1,2,20,10,25
naseeruddin shah,12,19,20,10,25,11
danielle kotch,9,24
obba babatundé,9,19,24,25,11
richard dawson,12,5,17,11
morgana o'reilly,9,19,24
jamie renée smith,12,5,10
claire geare,12,5
raphael barker,19,20,25
lee norris,20
talia zucker,9,5,20,24
gabourey sidibe,12,19,20,17,8
taylor negron,1,19,24,25,11
jizelle jade,19,10,11
manny perez,20,17,25
mei melançon,12,19,5,17
ashraf barhom,0,5,20,10,25,22
gabriel millman,20
david bailie,0,20,3,10,22
man li,20,25
christopher meloni,12,19,5,20,17,24,3,21,10,25,14,11
brad schmidt,5,20
melissa sagemiller,9,5,20,24
glen hansard,20,25,8
hill harper,12,9,19,5,20,17,24,22,11
kellie martin,19,10
brian lee franklin,0,20
jaden klein,9,5,24
jason mewes,19,25
dal-su oh,12,19,2,10
jeff garlin,1,19,13,20,10,25,11
brad leland,12,2,17,20
julie r. ølgaard,5,20,17
lindsay felton,24
sebastian schipper,19,20,25
izabella miko,19,5,20,24,25,8
don cheadle,0,12,1,19,5,20,17,21,10,25,22,11
steve bannos,19,25
chris owen,19,20,17,25
dallas barnett,21
hannah britland,19
catherine lambert,20
daniel lapaine,9,5,20
kwok-kwan chan,12,19,20,3,22,14
rachael carpani,9,5,21
trine dyrholm,20
marla gibbs,19,20
sam edwards,1,13,20
boyd holbrook,12,9,19,5,2,17,20
rachel blanchard,12,9,19,5,20,17,24,10,11
pamela salem,5,20,17,10
phil fish,16
joaquín cosio,19,2,10
jean-louis trintignant,20,25
john reardon,5,24,11
jason cope,12,5,11
silvio muccino,19,20,25
david dastmalchian,20
tyler mane,12,19,2,20,24,10,11
gordon jump,12,11
yayaying rhatha phongam,20,17
lisaraye mccoy,19,5,20,17
david chandler,5,20,24
daniel london,20
stacy keach,12,1,13,5,20,17,21,10,25,8
sasha roiz,12,5,20,17,10,25,22
marie avgeropoulos,19,25
jung-jae lee,0,12,20,22
dean dawson,0,12,20,22
joe cocker,16,22,8
jason george,12,19,5,20,10,11
rizwan manji,19,20,25
louis ferreira,12,9,5,20,17
john gavin,9,5,24
daren kagasoff,24,21
diego velazquez,20,25
james russo,12,19,17
saul williams,20
ann talman,19,25
dennis quaid,0,9,1,2,17,24,3,10,25,11,12,19,5,20,21,22,14,8
michael eisner,5
matt servitto,5,20,17,3,25
james robinson,0,20,3,22
bridgit mendler,1,19,13,21,8
bobby campo,9,5,20,17,24
george harris,9,1,19,5,20,17
david fine,20,25,23
andrew dice clay,20
jamie blackley,5,20,3
maxine bahns,19,20,25
crystal r. fox,9,20,17
brenda fricker,5,20,17,3
frankie muniz,12,1,19,5,20,17,24,10,25,14,11
john hodgman,1,13,21
colleen dewhurst,20
richard burgi,12,19,5,17,24,10
paul kaye,19,20,3,8
sandra staggs,5,24,11
eric ambriz,20
ivan dixon,20,25
christina moore,20
meredith scott lynn,19,25
paul 'pauly d' delvecchio,19,20,25,4
kim hunter,20,17,7
martha higareda,20
ben platt,19,25,8
basher savage,5,20,10,11
christina vidal,19,20
bruce hopkins,9,19,24
lukas haas,12,9,19,5,2,17,20,24,21,10,25,11
leo g. carroll,9,5,7,25
jack albertson,1,21,23
tim blake nelson,9,1,2,17,24,3,10,25,11,12,19,20,21,8
anne parillaud,12,10
bern cohen,19,25
shô kosugi,12,5,17
david adam flannery,19,20,8
monique candelaria,5,24
ellen barkin,12,9,19,5,20,17,10,25,14
dominik garcía-lorido,19,20
tim conway,0,1,19,13,21,10
daniel zettel,9,5,20,17,10
chelsey reist,12,9,5,24
paul scheer,1,19,13,10,11
brooke d'orsay,19,25
aimee teegarden,9,19,20,24,14
vince colosimo,1,20
stephen boyd,0,20,22
nadine velazquez,12,19,5,20,17
errol flynn,0,12,10,25
andrea martin,12,1,19,13,20,24,21,10,11,8,23
omid abtahi,1,19,13,10,11
charlotte bøving,19,20,25
kelly reno,1,10,14
dileep raj,19,25
jorma taccone,19
shawn roberts,12,19,24,10,25,11
jelena jovanova,0,20,25
boys ii men,16,8
siobhan marshall,20
damon wayans,19,8
janet mcteer,19,20,8
carmen perez,19,20,25
virginia capers,20,3,8
david masterson,19,20,24,3,25
jemima west,20,22,14
andrew lawrence,9,1,19,13,11
jordan prentice,12,19,10,25,11
ross elliott,24,10,11
larry poindexter,12,20
lindy booth,9,5,20,24
eddie izzard,0,1,24,10,25,11,12,19,13,20,21,14,8,23
heather bucha,19,20
g.w. bailey,1,19,13,2,17,8
thomas lennon,9,1,19,5,20,17,21,10,25,14,11
candice bergen,12,19,20,17,3,25,22
walter masterson,20,17
john karyus,19,24,23
david walliams,19,10,25,22
emily pearson,16
dichen lachman,1,19,24,21,25
cynthia stevenson,19,24,21
hope olaide wilson,19,20
lydia hearst,9,5,20,24
peter jacobson,19,20,25
philippe noiret,5,20
jean-paul belmondo,20,17,25
lorraine toussaint,20
charla cochran,20
spencer wilding,12,9,5,20,17,24,21,11
mark camacho,9,5,20,25
angelo rossitto,12,19,5,10,11
larry david,19,16,20,25
morgan fairchild,19,20
matthew feeney,9,5
keeley hawes,1,21,10
g.w. krauss,16
tina gilton,10
belinda stewart-wilson,19,25
kristi clainos,12,5,20
mercedes morán,20
zakes mokae,12,5,24,10,11
celina jade,12,5,17
todd graff,5,20,10,11
margot kidder,12,1,19,20,24,10,25,11
matthew modine,12,19,5,17,10
anil kapoor,5,20,25
sandra ellis lafferty,12,9,5,20,24,3,21,10,25,11,8
stacie evans,16
sophie nélisse,0,20
joseba ugalde,20,25
bárbara goenaga,9,5,24,11
ethan stiefel,20,25,8
richard lynch,12,5,21,10
john bell,1,20
balthazar getty,9,5,20,24
hans matheson,1,20,3,21,22
noel clarke,12,10,11
peter mcnicholl,19,20,25
aubrey poo,20,3,22
dick van patten,19,20,10,25,11
sakina jaffrey,19,20,25
alex gibney,0,16,17
jemima rooper,12,5,24,10,11
evgeniy mironov,1,19,13,10
matt prokop,1,19,20,25,8,23
rebecca black,12,1,19,13,10
jessica de gouw,0,20
ricky catter,5,20,11
tony way,19,20,17
colin stinton,20,25
miranda richardson,12,9,1,19,13,5,20,17,10,25,8,23
denis leary,12,1,19,13,5,17,21,10,25,11
pauline mclynn,19,20
eve ensler,16,6
soleyman pierini,5,20,3,10
ben diskin,1,13
harry shearer,19,20,21
michelle nolden,5,20,21,25,11
fabian bolin,12,5,20,17
ossie davis,9,19,20,21,23
bhama,19,25
zaide silvia gutiérrez,20,22
paul blackthorne,19,20,11
shelley winters,12,9,5,20,17,25
agnia ditkovskite,9,5,21,10
ocean james,5,24
diane venora,20
dottie alexander,16,3,8
armin mueller-stahl,12,9,5,20,17,3,25,8
philip winchester,0,12,1,19,5,20,17,10,25,22,11
jim meskimen,20
heather berman,1,16,8
susan blommaert,5,20,22
fred macmurray,19,20,25
sandahl bergman,12,21,10
cleavon little,12,19
estelle parsons,21,25
betty hutton,19,2,3,25,23
shane carruth,5,20,11
jamey sheridan,20,17,3,22
lisa ray,20,25
brian keith,12,5,2,17,20,11
nathan lane,12,1,19,13,20,3,21,10,25,11,23
burt young,12,19,20,17,25,14,11
brion james,12,19,5,17
blair underwood,12,19,5,20,17,25,11,8
isaach de bankolé,20,3
ian gamazon,5
vincent gallo,19,20,17,25
randall park,19,20,25
erica leerhsen,9,5,24,21,10
gregory alan williams,20,3,14
tommy o'reilly,9,5
kad merad,1,19,25
jeanne neilson,20
stockard channing,19,5,20,3,21,25,23
paul mazursky,19,20,17
gabrielle reece,16,22,14
eddie cahill,20,3,22,14
gina bellman,12,5,20
bruce alexander,9,20,17
ejner federspiel,20,21
tim daly,12,9,19,5,20,17,3,25,14
roger ashton-griffiths,9,5,21,10
adam scott,9,19,5,20,17,24,3,21,10,25,11
charlie rowe,1,19,13,20,10,25,11,8
kesun loder,19,20,24,11
julia sawalha,1,19,13,20,10
peter dinklage,12,1,19,13,5,20,17,3,21,10,25,11
owen burke,5,20,17
bill farmer,16
krysta rodriguez,19
michael hitchcock,12,5,10,11
martin short,12,1,19,13,20,3,21,10,11,23
dimple kapadia,5,20
ian mune,20,25,8
murray hamilton,5,20,24,10,14
thomas mcdonell,12,19,20,21,10
chloë grace moretz,9,1,17,24,10,25,11,12,19,13,5,20,21,8
garvin cross,12,19
linda blair,24
claudette colbert,19,2,20,10,25
sofie gråbøl,16
sonia braga,19,20,25
jason weaver,19,20,25,8
zach gilford,12,9,19,5,20,17,24,25,14,11
julie walters,1,19,13,20,3,21,10,25,8,23
anupam kher,19,13,20,25,22,14,23
ike barinholtz,12,19,10,11
lara pulver,12,10,11
mykel shannon jenkins,12,1,20,17,3,21
george raft,19,25,8
daniel sharman,12,5,20,24,21,25
gene simmons,19
patrick cronin,19,21,25
jenna fischer,19,20,25
bipasha basu,12,5,20,17,10,25,11
virginie ledoyen,0,9,19,5,20,10,25
daryl sabara,12,1,19,20,24,10,11
charlotte rae,19
shona kay,12,19,24
david zayas,12,1,19,5,20,17,11,23
debra winger,19,20,17,3,25,14
calvin lockhart,12,19
clu gulager,12,19,5,20,24,21,11
robert clohessy,12,5,20,17,21,25,23
laurence fox,20,3,25
arik ascherman,16
jake weber,12,19,5,20,24,21,25,11
eli marienthal,20,25
leehom wang,12,19,10,25
heather o'rourke,5,24,21
rufus sewell,12,9,19,5,20,17,24,21,10,25,11
valente rodriguez,20,3,14
anella vastola,24
synnøve macody lund,5,20,17
joyful drake,19
david gant,1,20,10
david sullivan,5,20,11
ivette alvarez,5,20
aasif mandvi,12,1,19,5,20,17,21,10,25
kevin scott richardson,16,8
gerard mcsorley,5,20,17,3
keenen ivory wayans,12,19,5,20,17
aaron staton,20,8
lubna azabal,0,9,5,20
jack mcgraw,1,19,13,21,10
rudy youngblood,12,5,20,24,10
stevie wonder,0,16,20
louis mandylor,1,19,25
lhakpa dorji,20,10
lauren lee smith,12,5,20,17
nicollette sheridan,12,19
pip torrens,0,1,19,13,10
caity lotz,20,8
alessandro nivola,12,9,5,20,24,3,10,22,11
tim rose,9,1,24,21,10
trond fausa,19,20,17
bob proctor,16
nick wechsler,12,5,20,17
kevin corrigan,9,19,5,20,17,24,21,25
gale sondergaard,1,20,21
matthew senreich,19,13
allen leech,0,5,20,3
cynthia rhodes,20,25,8
josh hutcherson,1,17,24,3,10,25,11,12,19,13,5,20,21,14
q'orianka kilcher,12,5,20,24
osama bin laden,0,16,20
molly shannon,1,19,20,17,21,25,11
tadanobu asano,0,12,5,20,3,10,22,11
steven michael quezada,12,5,20,25
maximilian dirr,3
stephen walters,5,20,17,25,11
billy crudup,9,17,3,10,25,11,12,19,13,5,20,21,22,14,8
cary-hiroyuki tagawa,0,12,1,19,5,20,17,24,3,21,10,22,11
quentin tarantino,12,19,16,5,20,17,24,21
mike huckabee,16
rick worthy,12,5,20
robin williams,0,9,1,16,17,3,10,25,11,12,19,13,5,20,21,8,23
robert vaughn,12,19,10,11,23
kristen seavey,19,25
marty lindsey,12,20,21,11
jacqueline bisset,0,9,19,5,20,25,22
paul mcgann,12,24,11
amy yasbeck,12,19,20,17,21
kiernan shipka,5,20,24,11
michael chernus,5,20,3
melissa gilbert,19,20
johnny lever,12,19
lindsay price,19,5,24
christopher james baker,1,19,21,10
beau garrett,19,25
nat wolff,9,20,25
lucy fry,5,20,24
maria grazia cucinotta,12,5,10
bill maher,0,19,16,3,22
gert fröbe,12,5,10
jack carson,20,25
alice cooper,16
héctor jiménez,12,1,19,10,14,11
scott thompson,9,5,20,17,24
scott helvenston,0,16
michael beck,12,11
tracey walter,12,9,19,5,20,17,11
tenzin thuthob tsarong,0,20,3,22
nirut sirichanya,12
garrett morris,1,19,20,3,14
ace marrero,9,5,20,24
kimberly j. brown,19,20
